"Date","Price","Open","High","Low","Vol.","Change %"
"01-01-2022","17,339.85","17,387.15","18,350.95","16,836.80","5.44B","-0.08%"
"01-12-2021","17,354.05","17,104.40","17,639.50","16,410.20","5.50B","2.18%"
"01-11-2021","16,983.20","17,783.15","18,210.15","16,782.40","5.85B","-3.90%"
"01-10-2021","17,671.65","17,531.90","18,604.45","17,452.90","7.65B","0.30%"
"01-09-2021","17,618.15","17,185.60","17,947.65","17,055.05","6.96B","2.84%"
"01-08-2021","17,132.20","15,874.90","17,153.50","15,834.65","6.35B","8.69%"
"01-07-2021","15,763.05","15,755.05","15,962.25","15,513.45","6.00B","0.26%"
"01-06-2021","15,721.50","15,629.65","15,915.65","15,450.90","8.08B","0.89%"
"01-05-2021","15,582.80","14,481.05","15,606.35","14,416.25","10.27B","6.50%"
"01-04-2021","14,631.10","14,798.40","15,044.35","14,151.40","9.64B","-0.41%"
"01-03-2021","14,690.70","14,702.50","15,336.30","14,264.40","11.36B","1.11%"
"01-02-2021","14,529.15","13,758.60","15,431.75","13,661.75","14.31B","6.56%"
"01-01-2021","13,634.60","13,996.10","14,753.55","13,596.75","13.02B","-2.48%"
"01-12-2020","13,981.75","13,062.20","14,024.85","12,962.80","12.08B","7.81%"
"01-11-2020","12,968.95","11,697.35","13,145.85","11,557.40","13.11B","11.39%"
"01-10-2020","11,642.40","11,364.45","12,025.45","11,347.05","11.60B","3.51%"
"01-09-2020","11,247.55","11,464.30","11,618.10","10,790.20","13.45B","-1.23%"
"01-08-2020","11,387.50","11,057.55","11,794.25","10,882.25","14.04B","2.84%"
"01-07-2020","11,073.45","10,323.80","11,341.40","10,299.60","14.64B","7.49%"
"01-06-2020","10,302.10","9,726.85","10,553.15","9,544.35","16.78B","7.53%"
"01-05-2020","9,580.30","9,533.50","9,598.85","8,806.75","13.68B","-2.84%"
"01-04-2020","9,859.90","8,584.10","9,889.05","8,055.80","12.74B","14.68%"
"01-03-2020","8,597.75","11,387.35","11,433.00","7,511.10","21.30B","-23.25%"
"01-02-2020","11,201.75","11,939.00","12,246.70","11,175.05","11.19B","-6.36%"
"01-01-2020","11,962.10","12,202.15","12,430.50","11,929.60","11.93B","-1.70%"
"01-12-2019","12,168.45","12,137.05","12,293.90","11,832.30","12.55B","0.93%"
"01-11-2019","12,056.05","11,886.60","12,158.80","11,802.65","13.18B","1.50%"
"01-10-2019","11,877.45","11,515.40","11,945.00","11,090.15","15.62B","3.51%"
"01-09-2019","11,474.45","10,960.95","11,694.85","10,670.25","12.21B","4.09%"
"01-08-2019","11,023.25","11,060.20","11,181.45","10,637.15","11.15B","-0.85%"
"01-07-2019","11,118.00","11,839.90","11,981.75","10,999.40","9.99B","-5.69%"
"01-06-2019","11,788.85","11,953.75","12,103.05","11,625.10","6.79B","-1.12%"
"01-05-2019","11,922.80","11,725.55","12,041.15","11,108.30","8.65B","1.49%"
"01-04-2019","11,748.15","11,665.20","11,856.15","11,549.10","6.52B","1.07%"
"01-03-2019","11,623.90","10,842.65","11,630.35","10,817.00","6.86B","7.70%"
"01-02-2019","10,792.50","10,851.35","11,118.10","10,585.65","7.46B","-0.36%"
"01-01-2019","10,830.95","10,881.70","10,987.45","10,583.65","7.43B","-0.29%"
